"Name","Domain","is_legit"
"VSCode CLI","*.devtunnels.ms*","false"
"VSCode CLI","*.tunnels.api.visualstudio.com","false"
"VSCode GUI","*.devtunnels.ms*","false"
"VSCode GUI","*.tunnels.api.visualstudio.com","false"
"TunnelTo","*.tuns.sh","false"
"TunnelTo","*.ssi.sh","false"
"TunnelTo","*.tunnelto.dev","false"
"Tmate","*.tmate.io","false"
"Telebit","get.telebit.io","false"
"Telebit","*.telebit.io","false"
"Telebit","*.telebit.cloud","false"
"Telebit","*.telebit.fun","false"
"StaqLab","*.tunnel.staqlab.com","false"
"StaqLab","*.staqlab-tunnel.com","false"
"StaqLab","*.staqlab.com","false"
"ShellHub","*.shellhub.io*","false"
"Expose","*.sharedwithexpose.com","false"
"Expose","*.*.sharedwithexpose.com","false"
"Expose","*.eu-1.sharedwithexpose.com","false"
"Expose","*.us-1.sharedwithexpose.com","false"
"Expose","*.us-2.sharedwithexpose.com","false"
"Expose","*.ap-1.sharedwithexpose.com","false"
"Expose","*.in-1.sharedwithexpose.com","false"
"Expose","*.sa-1.sharedwithexpose.com","false"
"Expose","*.au-1.sharedwithexpose.com","false"
"Expose","*.eu-2.sharedwithexpose.com","false"
"Serveo","*.serveo.net","false"
"PiTunnel","*pitunnel.com","false"
"Pinggy","*.pinggy.io","false"
"Pinggy","*.pinggy.link","false"
"Pinggy","*.*.amazonaws.com/public.pinggy.binaries/*","false"
"PageKite","*.pagekite.net","false"
"PageKite","*.pagekite.me","false"
"OpenPort","openport.io","false"
"ngrok","*.ngrok.com","false"
"ngrok","*.ngrok.io","false"
"ngrok","*.ngrok.dev","false"
"ngrok","*.ngrok.app","false"
"ngrok","*.ngrok.pro","false"
"ngrok","*.ngrok.pizza","false"
"ngrok","*.ngrok-agent.com","false"
"ngrok","*.ngrok-free.app","false"
"ngrok","*.ngrok-cname.com","false"
"ngrok","*.equinox.io","false"
"Loophole","loophole.eu.auth0.com","false"
"Loophole","*.loophole.site","false"
"LocalXpose","*.localxpose.io","false"
"Rust LocalTunnels","*.loca.lt","false"
"Rust LocalTunnels","*.localtunnel.me","false"
"LocalTunnels","*.loca.lt","false"
"LocalTunnels","*.localtunnel.me","false"
"LocaltoNet","*.localto.net","false"
"LocaltoNet","*.localtonet.com","false"
"localhost.run","*.localhost.run","false"
"JPRQ","*.jprq.io","false"
"jkuri Bore","bore.digital:*","false"
"jkuri Bore","*.bore.digital","false"
"Expose.sh","expose.sh","false"
"Expose.sh","*.expos.es","false"
"Dev Tunnels","*.devtunnels.ms","false"
"Dev Tunnels","*.data.rel.tunnels.api.visualstudio.com","false"
"Dev Tunnels","*.rel.tunnels.api.visualstudio.com","false"
"Dev Tunnels","*.global.rel.tunnels.api.visualstudio.com","false"
"Dataplicity","*.dataplicity.com","false"
"Cloudflared","*.trycloudflare.com","false"
"Cloudflared","*.cfargotunnel.com","false"
"Cloudflared","*.cftunnel.com","false"
"Burrow","*.burrow.io","false"
"Burrow","*.burrow.link","false"
"Burrow","io.burrow.link:*","false"
"BTunnels","*.btunnel.co.in","false"
"BTunnels","*.btunnel.in","false"
"Bore","bore.pub:*","false"
"Beeceptor","*.beeceptor.com","false"
