"Webhook Name","URL","Type","Reference","is_legit"
"Webhook.site","webhook.site/*","Web","https://webhook.site/","false"
"Webhook.site","*@emailhook.site","Email","https://webhook.site/","false"
"Webhook.site","*.dnshook.site","DNS","https://webhook.site/","false"
"Webhook Test","webhook-test.com/*","Web","https://webhook-test.com/","false"
"Webhook Cool","*.webhook.cool","Web","https://webhook.cool/","false"
"Beeceptor","*.free.beeceptor.com","Web","https://beeceptor.com/","false"
"Beeceptor","*.proxy.beeceptor.com","Web","https://beeceptor.com/","false"
"Typed Web Hooks","typedwebhook.tools/*","Web","https://typedwebhook.tools/","false"
"Discord","discord.com/api/webhooks/*","Web","https://discord.com/","false"
"MS Teams","*.webhook.office.com/*","Web","https://teams.microsoft.com/","false"
"MS Teams Workflows","*.*.logic.azure.com/workflows/*","Web","https://www.microsoft.com/en-us/microsoft-teams/apps-and-workflows","false"
"GitHub","github.com/{username}/{repository}/hooks/*","Web","https://github/","false"
"Request Catcher","*.requestcatcher.com","Web","https://requestcatcher.com/","false"
"Pipe Dream","*.mpipedream.net","Web","https://pipedream.com/","false"
"Trello","api.trello.com/1/tokens/{token}/webhooks/?callbackURL=*","Web","https://trello.com/","false"
"Slack","hooks.slack.com/*","Web","https://slack.com/","false"
"IFTTT","maker.ifttt.com/trigger/*","Web","https://ifttt.com","false"
"Webhook Relay","*.hooks.webhookrelay.com","Web","https://webhookrelay.com","false"
"Octohook","octo.hk/*","Web","https://octohook.com/","false"
